OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos,Hora,año,maña,noch,tard,unknown_Hour,Mes
Military - Force Aérienne Zaïroise,Democratic Republic of Congo,1,36,36,0,0,0,1,0,0,0,0,0,1980,0,0,0,1,9
Military - Royal Saudi Air Force,Saudi Arabia,1,89,89,0,0,0,1,0,0,0,0,0,1980,0,0,0,1,9
Military - Zairean Air Force,Democratic Republic of Congo,1,36,36,1,0,0,0,0,0,0,0,0,1980,0,0,0,1,9
Military - Soviet Air Force,Afghanistan,1,45,45,0,1,0,0,0,0,0,0,0,1980,0,0,0,1,9
Military - U.S. Air Force,Egypt,1,13,13,0,1,1,0,0,0,0,0,23,1980,0,1,0,0,11
F.R. de la Direccion General de Ados,Colombia,1,20,20,0,1,0,0,0,0,0,1,0,1980,0,0,0,1,11
Central Air Services,United States,1,2,2,0,1,0,1,0,0,1,0,21,1980,0,1,0,0,11
Tanzania Aviation,Tanzania,1,10,10,0,0,0,0,0,0,1,1,0,1980,0,0,0,1,12
Transportes Aereos del Caribe,Colombia,1,70,70,0,1,0,1,0,0,0,0,14,1980,0,0,1,0,12
Military - U.S. Air Force,United States,1,11,11,0,0,0,1,0,0,0,0,9,1981,1,0,0,0,1
Cascade Airways,United States,1,9,7,0,1,0,1,0,0,0,0,11,1981,1,0,0,0,1
Military - Soviet Navy,Russia,1,52,52,1,0,0,0,0,0,0,0,18,1981,0,0,1,0,2
Private - Corporate,United States,1,8,8,0,1,0,1,0,0,0,1,18,1981,0,0,1,0,2
Helicopter - Air Taxi,United States,1,8,2,0,1,0,1,1,0,0,0,11,1981,1,0,0,0,2
VOTEC,Brazil,1,14,11,0,1,0,0,0,0,1,1,0,1981,0,0,0,1,2
Military - U.S. Air Force,Philippines,1,24,23,0,1,0,0,0,0,0,0,5,1981,1,0,0,0,2
Military - French Naval Aviation,Comores Komori Comoros,1,18,18,0,0,0,1,0,0,0,0,5,1981,1,0,0,0,3
Military - U.S. Air Force,United States,1,24,6,0,0,0,0,0,0,0,1,2,1981,1,0,0,0,3
LOT Polish Airlines,Poland,1,52,1,0,1,0,0,0,0,0,0,0,1981,0,0,0,1,3
Urcupina,Bolivia,1,7,7,0,0,0,0,0,0,0,1,0,1981,0,0,0,1,4
Freedom International,United States,1,2,1,0,1,1,1,0,0,0,0,11,1981,1,0,0,0,4
Air US / Private,United States,1,19,15,0,0,0,1,0,0,0,0,16,1981,0,0,1,0,4
Private - Airfast Indonesia,Indonesia,1,17,15,0,1,0,0,0,0,0,0,7,1981,1,0,0,0,4
Aeroflot,Russia,1,12,12,0,0,0,0,0,0,0,1,12,1981,0,0,1,0,4
Military - U.S. Air Force,United States,1,21,21,1,0,0,0,0,0,0,0,10,1981,1,0,0,0,5
Austral Lineas Aeras (Argentina),Argentina,1,31,31,0,0,0,1,0,0,0,1,10,1981,1,0,0,0,5
TAAG Angola Airlines,Angola,1,4,4,0,1,0,0,0,0,0,0,0,1981,0,0,0,1,5
Lineas Aereas,Mexico,1,24,24,0,1,0,0,0,0,0,1,0,1981,0,0,0,1,5
TAME,Ecuador,1,18,18,0,1,0,0,0,0,0,1,15,1981,0,0,1,0,5
Military - Egyptian Air Force,Egypt,1,17,17,0,0,0,0,0,0,0,0,0,1981,0,0,0,1,5
Aeroflot,Russia,1,48,48,0,0,1,0,0,0,0,0,16,1981,0,0,1,0,6
Dan Air Services,United Kingdom,1,3,3,0,0,0,1,0,0,0,0,18,1981,0,0,1,0,6
TAR,Armenia:,1,4,4,1,0,0,0,0,0,0,0,15,1981,0,0,1,0,7
Somali Airlines,Soomaaliya Somalia,1,50,50,0,0,0,0,1,0,0,1,0,1981,0,0,0,1,7
Air Madagascar,Madagascar,1,19,19,0,1,0,0,0,0,0,0,0,1981,0,0,0,1,7
Transamazonica,Colombia,1,9,5,0,1,0,1,0,0,0,0,0,1981,0,0,0,1,7
Aeromexico,Mexico,1,66,32,0,1,0,1,0,0,1,1,0,1981,0,0,0,1,7
Far Eastern Air Transport,Taiwan,2,110,110,0,0,0,1,0,0,0,0,10,1981,1,0,0,0,8
Aeroflot / Military - Russian Air Force,Russia,1,32,31,0,0,1,0,0,0,0,0,9,1981,1,0,0,0,8
Aeropesca Colombia,Colombia,1,50,50,0,1,0,0,0,0,0,1,15,1981,0,0,1,0,8
Aeroflot,Russia,1,34,3,0,0,0,1,0,0,0,1,20,1981,0,1,0,0,8
Aereo el Venado,Colombia,1,22,21,1,0,0,0,0,0,0,0,0,1981,0,0,0,1,9
