fecha,HORA declarada,OperadOR,Pais_Accidente,Cantidad de rutas,all_aboard,cantidad de fallecidos,Cause,Cause_Category,desconocido,errores_humanos,fallas_gestion_trafico,fallos_equipos,problemas_disenio,problemas_fabricacion,problemas_mantenimiento,problemas_meteorologicos
1998-01-13,22:30:00,Military - Ariana Afghan Airlines,Pakistan,1,51,51,"['fuel', 'mountain', 'weather']",problemas_mantenimiento;errores_humanos;problemas_meteorologicos,0,1,0,0,0,0,1,1
1998-01-27,11:45:00,Myanmar Airways,Myanmar,1,45,16,"['engine', 'failed', 'takeoff']",fallos_equipos;fallos_equipos,0,0,0,1,0,0,0,0
1998-02-02,11:00:00,Cebu Pacific Air,Philippines,1,104,104,"['approach', 'cloud', 'error', 'inadequate', 'mountain', 'mountainous', 'training', 'wreckage']",errores_humanos;problemas_meteorologicos;fallos_equipos;errores_humanos;errores_humanos;errores_humanos;errores_humanos;fallos_equipos,0,1,0,1,0,0,0,1
1998-02-03,15:15:00,Military - U.S. Marine Corps,Italia,2,2,0,"['landed', 'negligence', 'prescribed']",errores_humanos;errores_humanos;errores_humanos,0,1,0,0,0,0,0,0
1998-02-04,22:17:00,Air Luxor,Portugal,1,7,7,"['engine', 'power', 'stalled']",fallos_equipos;problemas_mantenimiento;fallos_equipos,0,0,0,1,0,0,1,0
1998-02-05,12:10:00,Military - Spanish Air Force,spain,1,5,5,"['mountains', 'training']",errores_humanos;errores_humanos,0,1,0,0,0,0,0,0
1998-02-12,08:30:00,Military - Sudan Air Force,Sudan,1,57,27,['fog'],problemas_meteorologicos,0,0,0,0,0,0,0,1
1998-02-16,20:09:00,China Airlines (Taiwan),Taiwan,1,196,196,"['airport', 'error', 'fog', 'land', 'landing', 'rain', 'stall']",fallas_gestion_trafico;fallos_equipos;problemas_meteorologicos;errores_humanos;errores_humanos;problemas_meteorologicos;fallos_equipos,0,1,1,1,0,0,0,1
1998-03-10,16:35:00,Air Memphis,Kenya,1,6,6,['approach'],errores_humanos,0,1,0,0,0,0,0,0
1998-03-18,19:31:00,Formosa Airlines,Taiwan,1,13,13,"['engine', 'failure', 'instrument', 'power', 'turbulence']",fallos_equipos;fallos_equipos;fallos_equipos;problemas_mantenimiento;problemas_meteorologicos,0,0,0,1,0,0,1,1
1998-03-19,14:00:00,Ariana Afghan Airlines,Afghanistan,1,45,45,"['dense', 'fog', 'landing', 'mountain', 'rain', 'visual']",problemas_meteorologicos;problemas_meteorologicos;errores_humanos;errores_humanos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1998-03-22,19:42:00,Philippine Air Lines,Philippines,1,127,0,"['engine', 'landed']",fallos_equipos;errores_humanos,0,1,0,1,0,0,0,0
1998-03-28,09:35:00,Fuerza Aérea del Peru,Peru,1,55,22,"['airport', 'broke', 'engine', 'failed', 'failure', 'land']",fallas_gestion_trafico;problemas_mantenimiento;fallos_equipos;fallos_equipos;fallos_equipos;errores_humanos,0,1,1,1,0,0,1,0
1998-03-31,00:00:00,Linea Aérea Mexicana de Carga,Mexico,1,4,2,"['engine', 'fire', 'landing']",fallos_equipos;fallos_equipos;errores_humanos,0,1,0,1,0,0,0,0
1998-04-20,16:47:00,Air France,Colombia,1,53,53,"['airport', 'exploded', 'fog', 'mountain', 'proper']",fallas_gestion_trafico;fallos_equipos;problemas_meteorologicos;errores_humanos;errores_humanos,0,1,1,1,0,0,0,1
1998-05-05,21:30:00,Fuerza Aérea del Peru,Peru,1,88,75,"['approach', 'lightning', 'rain']",errores_humanos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1998-05-12,19:30:00,Military - Mauritanian Air Force,Mauritania,1,42,39,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-05-25,10:20:00,Military - Lao People's Liberation Army Air Force,Laos,1,26,26,"['land', 'mountain', 'premature']",errores_humanos;errores_humanos;errores_humanos,0,1,0,0,0,0,0,0
1998-05-25,00:32:00,Air Taxi - US Helicopters Inc.,United States,1,5,5,"['failure', 'fog', 'maintain', 'weather']",fallos_equipos;problemas_meteorologicos;problemas_mantenimiento;problemas_meteorologicos,0,0,0,1,0,0,1,1
1998-05-26,09:30:00,MIAT - Mongolian Airlines,Mongolia ᠮᠤᠩᠭᠤᠯ ᠤᠯᠤᠰ,1,28,28,['mountain'],errores_humanos,0,1,0,0,0,0,0,0
1998-06-18,07:28:00,Propair,Canada,1,11,11,"['airport', 'brakes', 'broke', 'engine', 'failed', 'failure', 'fire', 'gear', 'hydraulic', 'landing', 'system', 'wing']",fallas_gestion_trafico;problemas_mantenimiento;problemas_mantenimiento;fallos_equipos;fallos_equipos;fallos_equipos;fallos_equipos;fallos_equipos;fallos_equipos;errores_humanos;fallos_equipos;problemas_disenio,0,1,1,1,1,0,1,0
1998-06-25,09:32:00,Air Taxi - Ohana Helicopter Tours,United States,1,6,6,"['collision', 'failure', 'instrument', 'meteorological', 'mountain', 'mountainous', 'visibility', 'weather']",fallos_equipos;fallos_equipos;problemas_meteorologicos;errores_humanos;errores_humanos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,1,0,0,0,1
1998-07-13,23:15:00,ATI Aircompany,The United Arab Emirates,1,8,8,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-07-16,21:41:00,Alas del Sur,Argentina,1,3,3,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-07-17,04:15:00,Ukraine Aviation Transport Company,ኤርትራ Eritrea,1,10,10,['approach'],errores_humanos,0,1,0,0,0,0,0,0
1998-07-23,00:00:00,Military - Mexican Air Force,Mexico,1,4,4,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-07-27,00:00:00,Plane Sailing,United Kingdom,1,18,4,"['broke', 'collision', 'land', 'landed']",problemas_mantenimiento;errores_humanos;errores_humanos,0,1,0,0,0,0,1,0
1998-07-28,00:00:00,Swifair,spain,1,2,2,"['engine', 'gear', 'landing', 'stalled', 'training']",fallos_equipos;fallos_equipos;errores_humanos;fallos_equipos;errores_humanos,0,1,0,1,0,0,0,0
1998-07-29,16:00:00,Selva Taxi Aero,Brazil,1,24,5,['engine'],fallos_equipos,0,0,0,1,0,0,0,0
1998-07-30,15:58:00,Proteus Air / Private,France,1,15,15,"['collision', 'failure']",fallos_equipos,0,0,0,1,0,0,0,0
1998-07-30,11:05:00,Alliance Airlines,India,1,6,6,"['stalled', 'uncommanded']",fallos_equipos;errores_humanos,0,1,0,1,0,0,0,0
1998-08-04,17:58:00,Harbour Air Seaplanes Ltd.,Canada,2,5,5,"['approach', 'land', 'wind', 'wing']",errores_humanos;errores_humanos;problemas_meteorologicos;problemas_disenio,0,1,0,0,1,0,0,1
1998-08-11,00:00:00,Alada,Angola,1,13,1,"['blew', 'landing']",problemas_mantenimiento;errores_humanos,0,1,0,0,0,0,1,0
1998-08-19,16:40:00,Vincent Aviation,New Zealand,1,10,5,"['engine', 'failure', 'fuel', 'management']",fallos_equipos;fallos_equipos;problemas_mantenimiento;fallas_gestion_trafico,0,0,1,1,0,0,1,0
1998-08-21,11:30:00,Lumbini Airways,Nepal,1,18,18,"['mountainous', 'takeoff']",errores_humanos,0,1,0,0,0,0,0,0
1998-08-24,16:46:00,Speed Service Couriers,South Africa,1,2,1,['burned'],fallos_equipos,0,0,0,1,0,0,0,0
1998-08-24,08:35:00,Myanmar Airways,Myanmar,1,44,44,"['mountain', 'weather', 'wreckage']",errores_humanos;problemas_meteorologicos;fallos_equipos,0,1,0,1,0,0,0,1
1998-08-29,13:03:00,Cubana de Aviacion,Ecuador,1,91,70,"['burned', 'failed', 'takeoff']",fallos_equipos;fallos_equipos,0,0,0,1,0,0,0,0
1998-09-02,21:30:00,Swissair,Canada,2,229,229,"['airport', 'fire', 'fuel', 'inadequate', 'landing', 'system']",fallas_gestion_trafico;fallos_equipos;problemas_mantenimiento;errores_humanos;errores_humanos;fallos_equipos,0,1,1,1,0,0,1,0
1998-09-02,00:00:00,Permaviatrans,Angola,1,24,24,['shot'],errores_humanos,0,1,0,0,0,0,0,0
1998-09-09,10:45:00,Rusts Flying Service Inc.,United States,1,5,5,"['clouds', 'failure', 'maintain', 'mountain', 'rain', 'stall', 'visibility']",problemas_meteorologicos;fallos_equipos;problemas_mantenimiento;errores_humanos;problemas_meteorologicos;fallos_equipos;problemas_meteorologicos,0,1,0,1,0,0,1,1
1998-09-10,00:00:00,Military - Pakistan Air Force,Pakistan,1,5,5,"['brakes', 'fire']",problemas_mantenimiento;fallos_equipos,0,0,0,1,0,0,1,0
1998-09-25,09:00:00,Paukn Air,Venezuela,1,38,38,['approach'],errores_humanos,0,1,0,0,0,0,0,0
1998-09-28,13:30:00,Cabo Verde Airlines,Cape Verde,1,22,1,"['approach', 'clouds', 'landing', 'thunderstorm', 'visibility', 'wind']",errores_humanos;problemas_meteorologicos;errores_humanos;problemas_meteorologicos;problemas_meteorologicos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1998-09-29,13:50:00,Lionair,Sri Lanka Sri Lanka,1,55,55,['shot'],errores_humanos,0,1,0,0,0,0,0,0
1998-10-02,09:45:00,Servivensa,Venezuela,1,27,1,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-10-10,00:00:00,Congo Airline,Democratic Republic of Congo,1,41,41,"['airport', 'engine']",fallas_gestion_trafico;fallos_equipos,0,0,1,1,0,0,0,0
1998-10-21,13:51:00,Ararat Avia,Armenia:,1,37,0,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-10-25,00:00:00,TanaMana Aviation,Uganda,1,11,4,['mountains'],errores_humanos,0,1,0,0,0,0,0,0
1998-11-01,13:14:00,Living Water Teaching Ministries Charter,Guatemala,1,18,11,"['fog', 'mountainous', 'rain']",problemas_meteorologicos;errores_humanos;problemas_meteorologicos,0,1,0,0,0,0,0,1
1998-11-11,11:22:00,Sakha Airlines,Russia,1,13,13,"['burned', 'icing', 'snowstorm']",fallos_equipos;problemas_meteorologicos;problemas_meteorologicos,0,0,0,1,0,0,0,1
1998-11-21,17:43:00,Private,United States,1,1,1,"['airport', 'failure', 'land', 'maintain', 'night', 'trees']",fallas_gestion_trafico;fallos_equipos;errores_humanos;problemas_mantenimiento;problemas_meteorologicos;problemas_meteorologicos,0,1,1,1,0,0,1,1
1998-12-07,11:03:00,Air Satellite,Canada,1,10,7,['unknown'],desconocido,1,0,0,0,0,0,0,0
1998-12-11,19:10:00,Thai Airways,Thailand,1,146,102,"['airport', 'approach', 'error', 'landing', 'rain', 'stalled', 'visibility', 'weather']",fallas_gestion_trafico;errores_humanos;fallos_equipos;errores_humanos;problemas_meteorologicos;fallos_equipos;problemas_meteorologicos;problemas_meteorologicos,0,1,1,1,0,0,0,1
1998-12-14,00:00:00,Khors Aircompany,Angola,1,11,11,['shot'],errores_humanos,0,1,0,0,0,0,0,0
